LAST,FIRST,STATE,PHONE,ID,EMAIL,GRADYEAR,YRSSINCEGRAD,GPA,PROGRAM,STUDIEDABROAD,STUDIEDIN,NEWSLETTER
Henderson,Jody,New York,(212) 555-9729,725116,jhenderson@alumni.rouxacademy.com,2008,4,2.19,Animation,YES,Lebanon,YES
Bird,Gilbert,Michigan,(248) 555-7040,873848,gbird@alumni.rouxacademy.com,2004,8,3.11,Animation,NO,n/a,NO
Gibbs,Fallon,Texas,(936) 555-2965,68598,fgibbs@alumni.rouxacademy.com,2002,10,3.54,Photography,NO,n/a,NO
Tyson,Jonah,Texas,(936) 555-5290,477564,jtyson@alumni.rouxacademy.com,2011,1,3.74,Fashion and Textile Design,NO,n/a,NO
Pruitt,Ray,Florida,(727) 555-3547,933822,rpruitt@alumni.rouxacademy.com,2010,2,2.58,Photography,NO,n/a,NO
Gutierrez,Ezra,Colorado,(719) 555-6152,343345,egutierrez@alumni.rouxacademy.com,2004,8,3.19,Graphic Design,NO,n/a,NO
Holcomb,Myrl,California,(707) 555-6184,944352,mholcomb@alumni.rouxacademy.com,2007,5,3.34,Photography,NO,n/a,NO
Owens,Alphonse,Kentucky,(859) 555-7457,489241,aowens@alumni.rouxacademy.com,2005,7,3.1,Fashion and Textile Design,YES,Italy,YES
Hurst,Candie,North Carolina,(252) 555-0501,852752,churst@alumni.rouxacademy.com,2010,2,2.88,Fine Art and Visual Culture,NO,n/a,YES
Bradley,Tressa,Delaware,(302) 555-8957,597156,tbradley@alumni.rouxacademy.com,2000,12,2.96,Animation,NO,n/a,NO
Barr,Annett,New Jersey,(551) 555-8512,904539,abarr@alumni.rouxacademy.com,2002,10,3.79,Fashion and Textile Design,YES,China,NO
Sargent,Reva,Pennsylvania,(484) 555-0166,143615,rsargent@alumni.rouxacademy.com,2011,1,3.02,Graphic Design,NO,n/a,YES
Chase,Normand,Colorado,(303) 555-1815,320487,nchase@alumni.rouxacademy.com,2001,11,2.45,Fine Art and Visual Culture,NO,n/a,YES
Brown,Keely,Illinois,(312) 555-2466,324562,kbrown@alumni.rouxacademy.com,2011,1,2.52,Fine Art and Visual Culture,NO,n/a,NO
